,title,price,date,fuel,km,power_cv,displacement_cm3,consumption,seats,owners,sliding_doors
16318,Mercedes-Benz V 220 Marco Polo Edition STANDH/KÜCHE/AHK/MBUX/K,59890,01/2021,Diésel,62000,120.0,1950,7.9,4,3,right
16319,Renault Kangoo Rapid 1.5 dCI Maxi Extra mit KLIMA 1.Hand,14500,02/2019,Diésel,62000,81.0,1461,4.5,2,1,right
16320,Mercedes-Benz Citan 109 CDI lang Klima 1. Hand,14990,11/2019,Diésel,62000,70.0,1461,4.4,2,1,right
16321,Opel Movano B HKa L2H2 KLIMA 1HAND EURO6 AHK HOCH,16990,12/2017,Diésel,62000,107.0,2299,6.9,3,1,right
16322,Mercedes-Benz V 300 Marco Polo Edition 4-matic AMG-Line,64900,02/2021,Diésel,62000,174.0,1950,6.7,6,1,right
16323,Opel Movano B*Lang+Maxi Hoch*L2 H3*Automatik+Klima*,16200,04/2015,Diésel,62000,92.0,2299,7.4,3,1,right
16324,Opel Movano 2.3 D L3H2 2WD VA S&S 150 PS,24690,12/2020,Diésel,62000,110.0,2299,,3,1,right
16325,Volkswagen T6 CAMPER BEACH*AUFSTELLDACH *6-SITZER *GARANTIE,39990,12/2019,Diésel,62000,110.0,1968,6.5,6,1,right
16326,Peugeot Partner L1 Komfort,8950,11/2015,Diésel,62000,55.0,1560,,2,1,right
16327,Ford Transit Courier 1.5 Trend Klima Tempo,10590,08/2018,Diésel,62000,70.0,1499,4.0,2,2,right
16328,Volkswagen T6 Transporter Kombi 9-Sitzer Klima AHK,29449,06/2018,Diésel,62000,62.0,1968,,9,2,right
16329,"Volkswagen T6 Multivan Highline LED/ NAVI/ PDC/ LEDER/ALCAN
39.450 € (bruto)
33.151 € (neto)",39450,11/2017,Diésel,62000,150.0,1968,,7,1,both-sided
16330,Volkswagen T6 CAMPER BEACH *AUFSTELLDACH *NAVI *TEMPOMAT,39990,12/2019,Diésel,62000,110.0,1968,6.7,6,1,right
16331,"Peugeot Expert 2.0Premium Mixto 5-Sit*Temp*Klima*Nav*AHK
22.950 € (bruto)
19.286 € (neto)",22950,04/2018,Diésel,61987,110.0,1997,5.6,5,1,right
